Country,Name,"Year Passed",Executive/Legislative,Framework,Categories,"Document Type"
Portugal,"Decree-Law no. 4/2018 on incentives to electric mobility",2018,Executive,,"Energy Demand; Energy Supply; Transportation","Decree law"
"Macedonia (the former Yugoslav Republic of)","Energy Law (compliant with the EU Third Energy Package)",2018,Legislative,,"Energy Supply",Law
France,"Energy Renovation in Buildings Plan",2018,Executive,,"Energy Demand",Plan
France,"Hydrogen deployment plan for the energy transition",2018,Executive,No,"Energy Demand; Energy Supply; Transportation",Plan
Luxembourg,"Law of 17 April 2018 on territory planning",2018,Legislative,No,"Adaptation; Energy Supply; Institutions / Administrative arrangements; LULUCF; REDD+ and LULUCF",Law
Italy,"Ministerial Decree of March 2, 2018, promoting the use of biomethane in the transport sector",2018,Executive,,"Energy Supply; Transportation",Decree/order/ordinance
Ireland,"National Adaptation Framework",2018,Executive,Adaptation,"Adaptation; Institutions / Administrative arrangements",Policy
Ireland,"National Development Plan 2018-2027",2018,Executive,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Transportation",Plan
Turkey,"National Energy Efficiency Action Plan 2017-2023 (High Planning Council decision number 2017/22 )",2018,Executive,,"Energy Demand; Energy Supply; Transportation",Plan
Netherlands,"Offshore Wind Energy Roadmap 2030",2018,Executive,,"Energy Supply",Policy
"European Union","Regulation (EU) 2018/842 of the European Parliament and of the Council of 30 May 2018 on binding annual greenhouse gas emission reductions by Member States from 2021 to 2030 contributing to climate action to meet commitments under the Paris Agreement and amending Regulation (EU) No 525/2013",2018,Legislative,Mitigation,"Buildings; Energy Demand; Industry; Transportation; Waste","EU regulation"
Spain,"Royal Decree-law 15/2018 on urgent measures for energy transition and consumer protection",2018,Executive,No,"Energy Supply","Royal decree"
Finland,"Act 478/2017 on the distribution of alternative fuels for transport",2017,Legislative,,Transportation,Act
Luxembourg,"Agenda 2030 national report (on sustainable development)",2017,Executive,,"Adaptation; Energy Demand; Energy Supply; REDD+ and LULUCF; Transportation",Policy
Norway,"Better growth, lower emissions Strategy",2017,Executive,,"Carbon Pricing; Energy Demand; Energy Supply; Transportation",Strategy
Luxembourg,"Budget Law (climate tax on liquid fuels and tax rebate on low-carbon cars)",2017,Legislative,,"Carbon Pricing; Institutions / Administrative arrangements; Transportation",Law
Sweden,"Climate Act",2017,Legislative,"Mitigation and adaptation","Adaptation; Institutions / Administrative arrangements",Law
Norway,"Climate Change Act",2017,Legislative,Mitigation,"Adaptation; Institutions / Administrative arrangements",Act
Estonia,"Climate Change Adaptation Plan 2030",2017,Executive,Adaptation,Adaptation,Plan
"Czech Republic","Climate Protection Policy, Government Resolution no 207",2017,Executive,Mitigation,"Adaptation; Carbon Pricing; Energy Demand; Energy Supply; REDD+ and LULUCF; Transportation",Policy
"European Union","Commission Decision 2017/175 on establishing EU Ecolabel criteria for tourist accommodation",2017,Legislative,No,"Energy Demand; Energy Supply; Institutions / Administrative arrangements","EU decision"
Portugal,"Decree-Law 64/2017 on biomass plants",2017,Executive,No,"Energy Supply; Institutions / Administrative arrangements","Decree law"
Netherlands,"Energy Agenda: Towards a Low-Carbon Energy Supply",2017,Executive,,"Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development; Transportation",Policy
France,"Finance Law 2018 and Second Rectifying Finance Law for 2017",2017,Legislative,,"Carbon Pricing; Energy Demand; Energy Supply; Transportation",Law
Albania,"Law 7/2017 promoting the use of energy from renewable resources",2017,Legislative,No,"Energy Demand; Energy Supply",Law
Monaco,"Law no 1.456 (Environmental Code)",2017,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Law
France,"Law no. 2017-1839 on the end of exploration and exploitation of hydrocarbons and diverse dispositions related to energy and the environment",2017,Legislative,Mitigation,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Law
"Bosnia and Herzegovina","Law on energy efficiency",2017,Legislative,No,"Energy Demand",Law
Ukraine,"Law on Energy Efficiency Fund (No. 5598)",2017,Legislative,,"Energy Demand; Institutions / Administrative arrangements",Law
Poland,"Law on power market",2017,Legislative,,"Energy Supply",Law
Netherlands,"National Energy Efficiency Action Plan",2017,Executive,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; Transportation",Plan
Ireland,"National Mitigation Plan",2017,Executive,"Mitigation and adaptation","Energy Demand; Energy Supply; REDD+ and LULUCF; Research and development; Transportation",Plan
Norway,"National Transport Plan 2018–2029 (Meld. St. 33 2016–2017)",2017,Executive,,Transportation,Plan
Spain,"Royal Decree 564/2017 on the certification of energy efficiency in buildings (amending Royal Decree 235/2013)",2017,Executive,,"Energy Demand; Institutions / Administrative arrangements",Decree/order/ordinance
Spain,"Royal Decree 617/2017, of 16 June, regulating the direct granting of aid for the acquisition of alternative energy vehicles, and for the implementation of charging points for electric vehicles in 2017 (Plan MOVEA 2017)",2017,Executive,,"Energy Supply; Institutions / Administrative arrangements; Transportation",Decree/order/ordinance
Norway,"White Paper on the 2030 climate strategy (Meld St. 41 (2016-2017)",2017,Executive,,"Energy Supply; Institutions / Administrative arrangements; Transportation",Strategy
Poland,"Act on investments in the field of wind power (Dz.U. 2016 pos. 961)",2016,Legislative,No,"Energy Supply",Law
Belgium,"Belgian National Adaptation Plan 2017-2020",2016,Executive,,"Adaptation; Institutions / Administrative arrangements",Plan
"United Kingdom","Carbon Budget Order 2016",2016,Legislative,,"Institutions / Administrative arrangements",Law
Germany,"Climate Action Plan 2050",2016,Executive,Mitigation,"Buildings; Energy Supply; Industry; REDD+ and LULUCF; Transportation","action plan"
Slovenia,"Decree on the Use of the Climate Change Fund in 2017-18",2016,Executive,mitigation,"Institutions / Administrative arrangements",Decree/order/ordinance
"United Kingdom","Energy Act 2016",2016,Legislative,,"Energy Supply; Institutions / Administrative arrangements",Law
Romania,"Government Decision no. 739/2016 approving the National Climate Change and Low Carbon Green Growth Strategy 2016–2020 and National Action Plan for Implementation of the Strategy",2016,Executive,Mitigation,"Institutions / Administrative arrangements",Resolution
Germany,"Law for the conservation, modernisation and expansion of cogeneration",2016,Legislative,No,"Energy Supply",Law
Croatia,"Law on the establishment of infrastructure for alternative fuels",2016,Legislative,,"Energy Supply; Transportation",Law
Kazakhstan,"Law on the transition to green economy",2016,Legislative,,"Energy Supply; Institutions / Administrative arrangements",Law
Luxembourg,"Law supporting sustainable development in rural areas",2016,Legislative,,"Adaptation; Institutions / Administrative arrangements; REDD+ and LULUCF",Law
Netherlands,"National Climate Adaptation Strategy",2016,Executive,Adaptation,Adaptation,Strategy
Finland,"National Energy and Climate Strategy for 2030",2016,Executive,Mitigation,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development; Transportation",Strategy
Croatia,"National Reform Programme 2016",2016,Executive,,"Energy Demand; Energy Supply; Transportation",Programme
Greece,"National Strategy for Adaptation to Climate Change",2016,Executive,Adaptation,Adaptation,Strategy
Montenegro,"National Strategy with Action Plan for transposition, implementation and enforcement of the EU acquis on Environment and Climate Change 2016-2020",2016,Executive,No,"Carbon Pricing; Institutions / Administrative arrangements; Transportation",Plan
Greece,"New Aid Scheme for Power Plants Using RES and Co-generation of Electricity and High-Efficiency Heat ",2016,Legislative,No,"Energy Supply",Law
Luxembourg,"Package on Climate Bank and Sustainable Housing",2016,Legislative,Mitigation,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Law
Germany,"Prohibition and minimisation of the risks of fracking technology",2016,Legislative,,"Energy Supply",Law
Italy,"RES Decree 2016",2016,Executive,,"Energy Supply",Decree/order/ordinance
Spain,"Royal Decree 389/2016, of 22 October, approving the Master Plan for the Network of Natural Reserves",2016,Executive,,"Institutions / Administrative arrangements; REDD+ and LULUCF",Decree/order/ordinance
Georgia,"Rural Development Strategy 2017-2020",2016,Executive,No,Adaptation,Strategy
Slovenia,"Strategic framework for climate change adaptation",2016,Executive,Adaptation,Adaptation,Framework
Andorra,"11-02-2015 Decree approving the Regulation of the activity of production of electricity in mini hydraulic power less than 500 kW and connected to the mains",2015,Executive,,"Energy Supply",Decree/order/ordinance
Andorra,"18-11-2015 Decree of Approval of the amendment of the Rules of construction",2015,Executive,,"Energy Demand",Decree/order/ordinance
Poland,"Act on Renewable Energy Sources (“RES Act”, Dz.U. 2015 poz. 478)",2015,Legislative,No,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Law
"Macedonia (the former Yugoslav Republic of)","Action Plan on Renewable Energy Sources",2015,Executive,,"Energy Supply",Plan
"Czech Republic","Adaptation strategy to climate change in the Czech Republic",2015,Executive,Adaptation,Adaptation,Strategy
Malta,"Climate Action Act",2015,Legislative,"Mitigation and adaptation","Adaptation; Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development; Transportation",Law
Ireland,"Climate Action and Low Carbon Development Act 2015",2015,Legislative,"Mitigation and adaptation","Adaptation; Institutions / Administrative arrangements",Law
Italy,"Climate Adaptation Strategy (Decree of the Ministry of Environment, Land and Sea 0000086/CLE)",2015,Executive,Adaptation,Adaptation,Decree/order/ordinance
Finland,"Climate Change Act",2015,Legislative,"Mitigation and adaptation","Adaptation; Carbon Pricing; Energy Demand; Institutions / Administrative arrangements; Transportation",Law
Kyrgyzstan,"Climate Change Adaptation Programme and Action Plan for 2015-2017 for the Forest and Biodiversity Sector",2015,Executive,No,"Adaptation; REDD+ and LULUCF",Plan
Uzbekistan,"Decree no DP-2343 on the Program of measures to reduce energy consumption, implement energy-saving technologies in the fields of economy and social sphere for 2015-2019",2015,Executive,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Decree/order/ordinance
Ireland,"Ireland’s Transition to a Low Carbon Energy Future 2015-2030",2015,Executive,,"Energy Demand; Energy Supply; Research and development",Policy
France,"Law no. 2015-992 on Energy Transition for Green Growth (Energy Transition Law)",2015,Legislative,Mitigation,"Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Transportation",Law
Croatia,"Law on Renewable Energy Sources and Highly Effective Cogeneration",2015,Legislative,No,"Energy Demand; Energy Supply",Law
Croatia,"Law on Renewable Energy Sources and Highly Efficient Cogeneration",2015,Legislative,,"Energy Demand; Energy Supply; Research and development",Law
Luxembourg,"Law on the electricity market",2015,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Law
Luxembourg,"Law on the natural gas market",2015,Legislative,,"Energy Supply",Law
Finland,"National Climate Change Adaptation Plan 2022",2015,Executive,Adaptation,Adaptation,Plan
Montenegro,"National strategy in the field of climate change by 2030",2015,Executive,"Mitigation and adaptation","Adaptation; Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development; Transportation",Strategy
Kyrgyzstan,"Priorities for Adaptation to Climate Change in the Kyrgyz Republic till 2017 (updated to 2020)",2015,Executive,No,"Energy Supply; Institutions / Administrative arrangements",Policy
Portugal,"Resolution of the Council of Ministers no 56/2015",2015,Executive,"Mitigation and adaptation","Adaptation; Institutions / Administrative arrangements; Research and development",Resolution
Spain,"Royal Decree 900/2015 on Energy Self-Consumption",2015,Executive,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Decree/order/ordinance
Georgia,"Strategy for Agricultural Development in Georgia 2015-2020",2015,Executive,No,Adaptation,Strategy
Moldova,"Strategy on Biological Diversity of the Republic of Moldova for 2015-2020",2015,Executive,No,"Adaptation; REDD+ and LULUCF; Research and development",Strategy
"European Union","2030 framework for climate and energy policies (strategic document)",2014,Executive,Mitigation,"Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements",Law
Malta,"ACT No. XXXIV of 2014 and associated feed-in tariffs regulations",2014,Legislative,,"Energy Supply; Institutions / Administrative arrangements",Law
Germany,"Action Programme on Climate Protection 2020",2014,Executive,Mitigation,"Energy Demand; Energy Supply; REDD+ and LULUCF; Transportation",Programme
Denmark,"Climate Change Act  2014",2014,Legislative,Mitigation,"Institutions / Administrative arrangements",Law
Bulgaria,"Climate Change Mitigation Act",2014,Legislative,Mitigation,"Adaptation; Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements; Transportation",Law
"European Union","Directive 2014/94/EU on the deployment of alternative fuels infrastructure",2014,Legislative,No,"Energy Demand; Energy Supply; Transportation","EU directive"
Slovenia,"Energy Act (Energetski zakon; EZ-1)",2014,Legislative,No,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development",Law
Austria,"Energy Efficiency Act",2014,Legislative,,"Energy Demand",Law
"Macedonia (the former Yugoslav Republic of)","Energy Efficiency Action Plan",2014,Executive,No,"Energy Demand","Out of date"
"European Union","European Energy Security Strategy",2014,Executive,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Strategy
France,"Farming, forest and alimentation Framework Law No. 2014-1170",2014,Legislative,,"Adaptation; Institutions / Administrative arrangements; REDD+ and LULUCF",Law
"European Union","Fluorinated greenhouse gases (Regulation No. 517/2014 on fluorinated greenhouse gases and repealing Regulation (EC) No 842/2006)",2014,Legislative,No,"Institutions / Administrative arrangements","EU regulation"
Romania,"Government Decision on the reorganization of the National Commission on Climate Change (NCCC) 1026/ 2014",2014,Executive,,"Institutions / Administrative arrangements; Research and development",Policy
Italy,"Law Decree no. 145/20131 (the “Destinazione Italia Decree”)",2014,Legislative,,"Carbon Pricing; Energy Demand; Energy Supply",Law
Italy,"Law no. 116, ratifying with amendments the Law Decree no. 91 of 24 June 2014 on “Urgent provisions for the agricultural sector, environment, company development and, inter alia, reduction of energy bills”",2014,Legislative,,"Energy Supply; Institutions / Administrative arrangements",Law
Serbia,"Law on Energy",2014,Legislative,No,"Energy Demand; Energy Supply",Law
Croatia,"Law on Energy Efficiency",2014,Legislative,,"Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements",Law
Romania,"Law on energy efficiency 121/2014",2014,Legislative,,"Energy Demand; Institutions / Administrative arrangements",Law
Greece,"Ministerial Decision (21906) on the Compensation to those carbon intensive industries (sectors and sub-sectors) exposed to carbon leakage caused by the indirect costs of the EU Emissions Trading Scheme (as defined in the Directive 2009/29/EC)",2014,Legislative,,"Institutions / Administrative arrangements",Law
Slovakia,"National Adaptation Strategy, Resolution of the Slovak Government No. 148/2014",2014,Executive,Adaptation,"Adaptation; Institutions / Administrative arrangements",Strategy
Turkey,"National Renewable Energy Action Plan",2014,Executive,,"Energy Supply",Plan
Moldova,"National Strategy on Agriculture and Rural Development for the period 2014-2020",2014,Executive,No,"Adaptation; Energy Demand",Strategy
Malta,"National Transport Strategy 2050",2014,Executive,,Transportation,Strategy
Ireland,"Offshore Renewable Energy Development Plan",2014,Executive,,"Energy Supply; Institutions / Administrative arrangements; Research and development",Plan
Armenia,"Perspective Development Strategic Programme for 2014-2025",2014,Executive,No,"Energy Demand; Transportation",Programme
Croatia,"Regulation on the internal organization of the Ministry of Environment and Nature",2014,Executive,,"Institutions / Administrative arrangements",Regulation/rules
Spain,"Royal Decree 413/2014, regulating the production of electricity generation from renewable energy, cogeneration and waste",2014,Executive,,"Energy Supply; Institutions / Administrative arrangements",Decree/order/ordinance
Spain,"Royal Decree 525/2014, on the subsidization of the Incentives Programme for Efficient Vehicles (PIVE-6)",2014,Executive,,"Energy Demand; Institutions / Administrative arrangements; Research and development; Transportation",Decree/order/ordinance
Belgium,"Special Act to reform the finance of the Communities and the Regions,  the extension of the tax autonomy of the Regions and the finance of new competences",2014,Legislative,,"Institutions / Administrative arrangements",Law
Russia,"State Program on Energy Efficiency and Energy Development (approved by Government Decree No 321)",2014,Executive,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Decree/order/ordinance
Azerbaijan,"State Programme for the Socioeconomic Development of the Regions of Azerbaijan for the period 2014-2018",2014,Executive,,"Energy Supply",Programme
Poland,"Strategy for Energy Security and Environment (ESE)",2014,Executive,,"Energy Demand; Energy Supply; Research and development; Transportation",Strategy
Kosovo,"Strategy on Climate Change",2014,Executive,"Mitigation and adaptation","Adaptation; Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development; Transportation",Strategy
Ireland,"The National Energy Efficiency Action Plan (NEEAP) – 4th version 2017-2020",2014,Executive,,"Energy Demand; Institutions / Administrative arrangements; Research and development; Transportation",Plan
Iceland,"2013 Act no. 40 (on renewable fuels in transport on land)",2013,Legislative,No,"Energy Supply",Law
Finland,"Act 490/2013 on wind power compensation areas",2013,Legislative,,"Energy Supply",Act
Belgium,"Act on Biofuel Blending Obligation",2013,Legislative,,Transportation,Law
