country;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2006 to 2016
EU-28;2,537481806;2,485664815;2,416621337;2,343380642;2,279937468;2,35399503;2,370242362;2,402514322;2,432342979;2,451945746;2,450302707;2,433758129;2,444804259;0,028182922
EA-19 ;2,48943574;2,456180857;2,393479877;2,27420356;2,207995463;2,28568668;2,279144155;2,342838743;2,390282777;2,417491503;2,418332125;2,38712515;2,403917696;0,010437819
Belgium;2,467202391;2,450520225;2,265888819;2,224955579;2,138076556;2,180995473;2,209665558;2,249843909;2,145470414;2,071928466;2,082824325;2,109809295;2,216483977;-0,049404842
Bulgaria;3,093316136;2,920933671;2,82648215;3,193241534;3,284318628;2,848223506;2,750573238;2,68249737;2,668545396;2,795908338;2,730969958;2,905705104;2,772398451;-0,054083699
Czech Republic;2,432011108;2,470556692;2,380296158;2,31281936;2,258831172;2,305307351;2,282721648;2,344589074;2,233989742;2,129997556;2,094538794;2,071877564;2,109950789;-0,270345369
Denmark;4,988283786;4,921645687;4,676673675;4,74062991;4,170732198;3,993477921;4,017359777;4,017031161;3,966776275;4,140221003;3,99673872;3,99128151;3,987687387;-0,688986289
Germany;2,486677648;2,416270438;2,346599812;2,170792168;2,143777276;2,26035248;2,131927164;2,171231762;2,112708737;2,050321275;1,987812322;1,907709494;1,859416994;-0,487182818
Estonia;2,100085499;2,270584161;2,188704083;2,189285011;2,315511615;2,940286585;2,932762545;2,725407377;2,726862151;2,55985802;2,696862842;2,766062012;3,058018893;0,869314809
Ireland;2,454485361;2,479437252;2,416886258;2,445450609;2,297738628;2,261913141;2,449204359;2,446398828;2,374142075;2,456807046;2,384609809;1,879447159;1,836347125;-0,580539132
Greece;2,124762152;2,112001317;2,034778043;2,078690266;2,05462696;2,081384491;2,644765285;2,906357518;3,276606806;3,645083455;3,709912598;3,827873315;3,820910876;1,786132834
Spain;1,956885143;1,900671204;1,825146284;1,769418592;1,628255952;1,605019962;1,632938151;1,577375475;1,571337209;1,913048056;1,867568557;1,93120728;1,84529227;0,020145986
France;2,065514742;1,999516924;1,952012311;1,873287865;1,840218453;1,866925354;1,886182556;1,923678327;1,962021707;2,027981483;2,025368677;2,154957313;2,231681979;0,279669667
