Rank,Country,Area (km²),Notes
1,Russia,3972400,"17,098,242 including North Asia"
2,Ukraine,603628,This includes Crimea
3,France,551695,"643,801 when the overseas departments are included."
4,Spain,498468,"505,992 when the Canary Islands, Ceuta and Melilla are included."
5,Sweden,450295,
6,Norway,385178,This includes Svalbard and Jan Mayen[1]
7,Germany,357386,
8,Finland,338145,
9,Poland,312685,
10,Italy,301338,
11,United Kingdom,248532,"266,702 when the British Overseas Territories (except British Antarctic 
Territory) are included."
12,Romania,238397,
13,Belarus,207600,
14,Kazakhstan,"180,000 (est.)","2,724,902 including Asian part"
15,Greece,131940,
16,Bulgaria,110994,
17,Iceland,102775,
18,Hungary,93030,
19,Portugal,91568,
20,Austria,83858,
21,Czech Republic,78866,
22,Serbia,77453,"88,361 including Kosovo"
23,Ireland,70273,
24,Lithuania,65300,
25,Latvia,64589,
26,Croatia,56594,
27,Bosnia and Herzegovina,51129,
28,Slovakia,49036,
29,Estonia,45339,
30,Denmark,44493,"This includes Faroe Islands; 2,210,579 including Greenland"
31,Switzerland,41290,
32,Netherlands,41198,"Excluding Caribbean Netherlands, Aruba, Curacao and Sint Maarten."
33,Moldova,33846,
34,Belgium,30510,
35,Albania,28748,
36,North Macedonia,25713,
37,Turkey,23507,"783,562 including Asian part"
38,Slovenia,20273,
39,Montenegro,13812,
40,Kosovo,10908,Partially recognised state
41,Azerbaijan,6960,"86,600 including Asian part"
42,Luxembourg,2586,
43,Georgia,2428,"69,700 including Asian part"
44,Andorra,468,
45,Malta,316,
46,Liechtenstein,160,
47,San Marino,61,
48,Monaco,2.02,
49,Vatican City,0.44,
