"TIME","GEO","HHTYP","INDIC_IL","UNIT","Value","Flag and Footnotes"
"2009","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","Total","Median equivalised net income","Euro","14,802","e"
"2009","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","Total","Median equivalised net income","National currency",":",""
"2009","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","Single person","Median equivalised net income","Euro","13,795","e"
"2009","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","Single person","Median equivalised net income","National currency",":",""
"2009","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","Single person","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","One adult younger than 64 years","Median equivalised net income","Euro",":",""
"2009","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","One adult younger than 64 years","Median equivalised net income","National currency",":",""
"2009","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","One adult younger than 64 years","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","One adult 65 years or over","Median equivalised net income","Euro",":",""
"2009","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","One adult 65 years or over","Median equivalised net income","National currency",":",""
"2009","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","One adult 65 years or over","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","Single person with dependent children","Median equivalised net income","Euro","11,620","e"
"2009","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","Single person with dependent children","Median equivalised net income","National currency",":",""
"2009","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","Single person with dependent children","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","European Union - 28 countries","Total","Median equivalised net income","Euro",":",""
"2009","European Union - 28 countries","Total","Median equivalised net income","National currency",":",""
"2009","European Union - 28 countries","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","European Union - 28 countries","Single person","Median equivalised net income","Euro",":",""
"2009","European Union - 28 countries","Single person","Median equivalised net income","National currency",":",""
"2009","European Union - 28 countries","Single person","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","European Union - 28 countries","One adult younger than 64 years","Median equivalised net income","Euro",":",""
"2009","European Union - 28 countries","One adult younger than 64 years","Median equivalised net income","National currency",":",""
"2009","European Union - 28 countries","One adult younger than 64 years","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","European Union - 28 countries","One adult 65 years or over","Median equivalised net income","Euro",":",""
"2009","European Union - 28 countries","One adult 65 years or over","Median equivalised net income","National currency",":",""
"2009","European Union - 28 countries","One adult 65 years or over","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","European Union - 28 countries","Single person with dependent children","Median equivalised net income","Euro",":",""
"2009","European Union - 28 countries","Single person with dependent children","Median equivalised net income","National currency",":",""
"2009","European Union - 28 countries","Single person with dependent children","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","European Union - 27 countries (2007-2013)","Total","Median equivalised net income","Euro","14,802",""
"2009","European Union - 27 countries (2007-2013)","Total","Median equivalised net income","National currency",":",""
"2009","European Union - 27 countries (2007-2013)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","European Union - 27 countries (2007-2013)","Single person","Median equivalised net income","Euro","13,795",""
"2009","European Union - 27 countries (2007-2013)","Single person","Median equivalised net income","National currency",":",""
"2009","European Union - 27 countries (2007-2013)","Single person","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","European Union - 27 countries (2007-2013)","One adult younger than 64 years","Median equivalised net income","Euro",":",""
"2009","European Union - 27 countries (2007-2013)","One adult younger than 64 years","Median equivalised net income","National currency",":",""
"2009","European Union - 27 countries (2007-2013)","One adult younger than 64 years","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","European Union - 27 countries (2007-2013)","One adult 65 years or over","Median equivalised net income","Euro",":",""
"2009","European Union - 27 countries (2007-2013)","One adult 65 years or over","Median equivalised net income","National currency",":",""
"2009","European Union - 27 countries (2007-2013)","One adult 65 years or over","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","European Union - 27 countries (2007-2013)","Single person with dependent children","Median equivalised net income","Euro","11,620",""
"2009","European Union - 27 countries (2007-2013)","Single person with dependent children","Median equivalised net income","National currency",":",""
"2009","European Union - 27 countries (2007-2013)","Single person with dependent children","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","European Union - 15 countries (1995-2004)","Total","Median equivalised net income","Euro",":",""
"2009","European Union - 15 countries (1995-2004)","Total","Median equivalised net income","National currency",":",""
"2009","European Union - 15 countries (1995-2004)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","European Union - 15 countries (1995-2004)","Single person","Median equivalised net income","Euro",":",""
"2009","European Union - 15 countries (1995-2004)","Single person","Median equivalised net income","National currency",":",""
"2009","European Union - 15 countries (1995-2004)","Single person","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","European Union - 15 countries (1995-2004)","One adult younger than 64 years","Median equivalised net income","Euro",":",""
"2009","European Union - 15 countries (1995-2004)","One adult younger than 64 years","Median equivalised net income","National currency",":",""
"2009","European Union - 15 countries (1995-2004)","One adult younger than 64 years","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","European Union - 15 countries (1995-2004)","One adult 65 years or over","Median equivalised net income","Euro",":",""
"2009","European Union - 15 countries (1995-2004)","One adult 65 years or over","Median equivalised net income","National currency",":",""
"2009","European Union - 15 countries (1995-2004)","One adult 65 years or over","Median equivalised net income","Purchasing power standard (PPS)",":",""
